product_id,popularity,category_code,brand,price,interaction_count,predicted_score,final_score
1000978,100,electronics.smartphone,samsung,309.0811627906977,86,204.09897380127302,162.4593842807638
1001588,19,electronics.smartphone,meizu,127.74058823529413,17,34.7249756124548,28.43498536747288
1001618,49,electronics.smartphone,apple,501.66,23,44.552181032711424,46.33130861962685
1002062,42,electronics.smartphone,samsung,110.16305555555556,36,83.13898015343528,66.68338809206116
1002098,99,electronics.smartphone,samsung,389.1152,75,174.67889683102575,144.40733809861544
1002099,35,electronics.smartphone,samsung,414.53,35,75.22781319469635,59.13668791681781
1002100,167,electronics.smartphone,samsung,380.95690721649487,97,229.44327416306479,204.46596449783885
1002101,468,electronics.smartphone,samsung,379.85591549295776,284,694.7054212529349,604.023252751761
1002102,3,electronics.smartphone,samsung,370.41,3,-3.378768291429398,-0.8272609748576385
1002103,12,electronics.smartphone,samsung,370.41,8,9.006085644807433,10.20365138688446
1002225,11,electronics.smartphone,philips,86.04857142857144,7,10.03712750194985,10.422276501169911
1002328,1,electronics.smartphone,lg,25.71,1,-4.345865158431862,-2.2075190950591175
1002367,10,electronics.smartphone,meizu,204.94299999999998,10,15.94692779620221,13.568156677721326
1002396,4,electronics.smartphone,sony,275.0325,4,0.06871348945608613,1.6412280936736519
1002398,18,electronics.smartphone,sony,251.8957142857143,14,25.347518952345744,22.408511371407446
1002482,76,electronics.smartphone,meizu,128.83217391304348,46,108.06403274331032,95.2384196459862
1002484,14,electronics.smartphone,meizu,179.22142857142856,14,26.365889671605373,21.419533802963223
1002494,19,electronics.smartphone,sony,306.65,19,37.09239795040811,29.85543877024487
1002524,10264,electronics.smartphone,apple,550.9839057142857,3500,8949.519643401067,9475.31178604064
1002525,917,electronics.smartphone,apple,720.4258404558404,351,834.9426639225854,867.7655983535512
1002527,32,electronics.smartphone,apple,720.4408333333332,12,16.026596693713316,22.41595801622799
1002528,1531,electronics.smartphone,apple,573.7754228855722,603,1468.0564729938146,1493.2338837962889
1002531,665,electronics.smartphone,apple,722.4010600706714,283,669.9118341551177,667.9471004930706
1002532,2509,electronics.smartphone,apple,593.9034796926454,911,2229.959057472655,2341.5754344835927
1002535,357,electronics.smartphone,apple,622.3692156862745,153,359.18026599242023,358.30815959545214
1002536,761,electronics.smartphone,apple,589.1707397260274,365,879.5198051150937,832.1118830690561
1002538,343,electronics.smartphone,apple,591.6264748201439,139,326.15027096305994,332.890162577836
1002540,1507,electronics.smartphone,apple,479.6812386156648,549,1345.8843121108998,1410.33058726654
1002542,603,electronics.smartphone,apple,494.79394849785405,233,561.0963735007279,577.8578241004367
1002544,19009,electronics.smartphone,apple,477.3385981901889,6299,16827.788897264338,17700.273338358602
1002545,932,electronics.smartphone,apple,591.7224175824175,364,876.8558956749716,898.9135374049829
1002546,1,electronics.smartphone,apple,1012.64,1,-10.628945552424325,-5.9773673314545945
1002547,2331,electronics.smartphone,apple,489.542896969697,825,2034.5087149033745,2153.105228942025
1002548,189,electronics.smartphone,apple,563.3369565217391,69,156.09346443011796,169.25607865807078
1002549,74,electronics.smartphone,apple,563.18,32,65.83135415748151,69.09881249448891
1002628,192,electronics.smartphone,apple,405.0332926829268,82,191.62204469439973,191.77322681663986
1002629,3609,electronics.smartphone,apple,369.63999232540294,1303,3275.4921851272093,3408.895311076326
1002633,7557,electronics.smartphone,apple,380.46220671444735,2651,6793.532947889115,7098.919768733469
1002634,710,electronics.smartphone,apple,392.3235,300,733.7348114482725,724.2408868689635
1002662,5,electronics.smartphone,xiaomi,203.09,5,3.4103582977158258,4.046214978629495
1002666,13,electronics.smartphone,honor,231.64000000000001,7,8.077437977736441,10.046462786641865
1002678,19,electronics.smartphone,meizu,230.7268421052632,19,38.17075213836846,30.502451283021074
1002757,1,electronics.smartphone,samsung,168.69,1,-6.2328445360260325,-3.3397067216156193
1002786,273,electronics.smartphone,apple,404.124958677686,121,288.2311755333555,282.1387053200133
1002796,394,electronics.smartphone,apple,410.2642528735632,174,419.38568588309744,409.23141152985846
1002808,1,electronics.smartphone,bq,73.56,1,-5.014211006052592,-2.608526603631555
1002827,12,electronics.smartphone,leeco,358.39750000000004,12,19.04955737261508,16.22973442356905
1002876,5,electronics.smartphone,samsung,218.8,1,-6.815852825206925,-2.0895116951241546
1002881,34,electronics.smartphone,xiaomi,253.73633333333333,30,65.36496590937102,52.81897954562261
1002902,1,electronics.smartphone,oneplus,599.98,1,-9.920015768990371,-5.552009461394222
1002906,61,electronics.smartphone,samsung,257.38,33,72.8116047963432,68.08696287780592
1002923,83,electronics.smartphone,huawei,157.58632653061227,49,115.00793249442384,102.2047594966543
1002929,9,electronics.smartphone,micromax,84.56666666666666,9,15.133242436117595,12.679945461670556
1002974,92,electronics.smartphone,huawei,149.3,68,163.2085253095074,134.72511518570442
1002987,53,electronics.smartphone,xiaomi,166.62139534883718,43,99.67142447754253,81.00285468652552
1002995,8,electronics.smartphone,apple,308.615,8,9.670105302821018,9.00206318169261
1003013,19,electronics.smartphone,huawei,179.9,11,18.8035299075953,18.88211794455718
1003028,12,electronics.smartphone,apple,615.54,8,6.981025332318904,8.988615199391344
1003039,30,electronics.smartphone,samsung,1154.86,30,56.838133573572954,46.10288014414377
1003048,1,electronics.smartphone,samsung,643.52,1,-10.124903426485306,-5.674942055891183
1003050,7,electronics.smartphone,samsung,555.432,5,0.07306923726234515,2.8438415423574073
1003051,2,electronics.smartphone,samsung,599.66,2,-7.489870626172385,-3.6939223757034307
1003052,1,electronics.smartphone,samsung,599.66,1,-9.918396328439785,-5.551037797063871
1003073,14,electronics.smartphone,meizu,150.583,10,16.6962393871058,15.61774363226348
1003074,15,electronics.smartphone,meizu,134.41727272727272,11,19.455202258526352,17.67312135511581
1003078,1,electronics.smartphone,huawei,344.17,1,-8.0964039443102,-4.45784236658612
1003096,28,electronics.smartphone,meizu,307.93916666666667,24,49.530943095416376,40.918565857249824
1003105,2,electronics.smartphone,leagoo,149.46,2,-3.4752035579874394,-1.2851221347924635
1003114,10,electronics.smartphone,sony,128.16,6,6.907088265396158,8.144252959237694
1003141,14,electronics.smartphone,apple,376.4775,8,8.94422006837076,10.966532041022456
1003153,45,electronics.smartphone,huawei,149.3,37,84.8808653912115,68.9285192347269
1003168,5,electronics.smartphone,sony,102.71,1,-5.403196073333459,-1.241917644000075
1003176,26,electronics.smartphone,xiaomi,434.15923076923076,26,52.74463833944482,42.04678300366689
1003177,19,electronics.smartphone,nokia,127.36,11,19.559319508854582,19.335591705312748
1003181,2,electronics.smartphone,nokia,127.41,2,-3.194284993137914,-1.116570995882748
1003183,17,electronics.smartphone,huawei,128.19,13,24.60366244054927,21.562197464329564
1003184,7,electronics.smartphone,huawei,128.19,7,9.434607986305144,8.460764791783086
1003195,30,electronics.smartphone,huawei,123.66999999999999,28,62.62045337882045,49.57227202729227
1003208,53,electronics.smartphone,samsung,218.76999999999998,41,93.58088693651999,77.348532161912
1003209,10,electronics.smartphone,samsung,218.77,4,0.710351089726367,4.42621065383582
1003221,5,electronics.smartphone,nokia,128.43,5,4.375565124596605,4.625339074757963
1003222,6,electronics.smartphone,nokia,128.62,6,6.900766435825249,6.540459861495149
1003230,16,electronics.smartphone,nokia,180.08,16,31.38860240459976,25.233161442759858
1003231,1,electronics.smartphone,nokia,205.41,1,-6.66404576795205,-3.59842746077123
1003234,11,electronics.smartphone,huawei,128.42,11,19.543629676125782,16.126177805675468
1003235,10,electronics.smartphone,huawei,128.42,10,17.01546745458639,14.209280472751834
1003281,84,electronics.smartphone,samsung,537.6552941176471,68,154.16464074169326,126.09878444501595
1003285,15,electronics.smartphone,samsung,525.08,15,24.7293191341205,20.837591480472298
1003293,25,electronics.smartphone,xiaomi,509.23391304347825,23,44.46727106774336,36.68036264064602
1003298,1,electronics.smartphone,nokia,120.96,1,-5.639726739808018,-2.9838360438848106
1003304,1596,electronics.smartphone,apple,595.4700169491525,590,1433.0766506710854,1498.2459904026514
1003305,385,electronics.smartphone,apple,618.1585207100592,169,398.30651611590355,392.98390966954213
1003306,5559,electronics.smartphone,apple,585.9547503566334,2103,5254.668686241225,5376.401211744735
1003307,66,electronics.smartphone,apple,782.45225,40,82.6927815170886,76.01566891025317
1003308,10,electronics.smartphone,apple,1014.484,10,10.448899804315168,10.269339882589101
1003309,45,electronics.smartphone,apple,823.1632,25,46.531079564110314,45.91864773846619
1003310,1944,electronics.smartphone,apple,747.6561278195488,798,1922.3416770160197,1931.005006209612
1003311,231,electronics.smartphone,apple,773.4919834710744,121,276.98333680515464,258.59000208309277
1003312,1451,electronics.smartphone,apple,740.3808556149734,561,1343.8415464274644,1386.7049278564787
